time,duration,string,fret,finger,finger_name
76.800000,0.15,5,6,2,Middle
76.950000,0.15,4,6,2,Middle
77.100000,0.15,3,4,1,Pointer
77.250000,0.15,4,6,2,Middle
77.400000,0.09999999999999999,3,4,1,Pointer
77.500000,0.09999999999999999,3,6,2,Middle
77.600000,0.09999999999999999,3,4,1,Pointer
77.700000,0.15,4,6,2,Middle
77.850000,0.15,3,4,1,Pointer
78.000000,0.15,5,7,3,Ring
78.150000,0.15,4,6,2,Middle
78.300000,0.15,3,4,1,Pointer
78.450000,0.15,4,6,2,Middle
78.600000,0.09999999999999999,3,4,1,Pointer
78.700000,0.09999999999999999,3,6,2,Middle
78.800000,0.09999999999999999,3,4,1,Pointer
78.900000,0.15,4,6,2,Middle
79.050000,0.15,3,4,1,Pointer
79.200000,0.15,6,7,3,Ring
79.350000,0.15,5,6,2,Middle
79.500000,0.15,4,4,1,Pointer
79.650000,0.15,5,6,2,Middle
79.800000,0.09999999999999999,4,4,1,Pointer
79.900000,0.09999999999999999,4,6,2,Middle
80.000000,0.09999999999999999,4,4,1,Pointer
80.100000,0.15,5,6,2,Middle
80.250000,0.15,4,4,1,Pointer
80.400000,0.15,5,9,4,Pinky
80.550000,0.15,4,8,3,Ring
80.700000,0.15,3,6,2,Middle
80.850000,0.15,4,8,3,Ring
81.000000,0.09999999999999999,3,6,2,Middle
81.100000,0.09999999999999999,3,8,3,Ring
81.200000,0.09999999999999999,3,6,2,Middle
81.300000,0.15,4,8,3,Ring
81.450000,0.15,3,6,2,Middle
81.600000,0.15,5,6,2,Middle
81.750000,0.15,4,6,2,Middle
81.900000,0.15,3,4,1,Pointer
82.050000,0.15,4,6,2,Middle
82.200000,0.09999999999999999,3,4,1,Pointer
82.300000,0.09999999999999999,3,6,2,Middle
82.400000,0.09999999999999999,3,4,1,Pointer
82.500000,0.15,4,6,2,Middle
82.650000,0.15,3,4,1,Pointer
82.800000,0.15,5,7,3,Ring
82.950000,0.15,4,6,2,Middle
83.100000,0.15,3,4,1,Pointer
83.250000,0.15,4,6,2,Middle
83.400000,0.09999999999999999,3,4,1,Pointer
83.500000,0.09999999999999999,3,6,2,Middle
83.600000,0.09999999999999999,3,4,1,Pointer
83.700000,0.15,4,6,2,Middle
83.850000,0.15,3,4,1,Pointer
84.000000,0.15,6,7,3,Ring
84.150000,0.15,5,6,2,Middle
84.300000,0.15,4,4,1,Pointer
84.450000,0.15,5,6,2,Middle
84.600000,0.09999999999999999,4,4,1,Pointer
84.700000,0.09999999999999999,4,6,2,Middle
84.800000,0.09999999999999999,4,4,1,Pointer
84.900000,0.15,5,6,2,Middle
85.050000,0.15,4,4,1,Pointer
85.200000,0.15,6,6,2,Middle
85.350000,0.15,5,4,1,Pointer
85.500000,0.15,4,4,1,Pointer
85.650000,0.15,5,4,1,Pointer
85.800000,0.09999999999999999,4,4,1,Pointer
85.900000,0.09999999999999999,4,6,2,Middle
86.000000,0.09999999999999999,4,4,1,Pointer
86.100000,0.15,5,4,1,Pointer
86.250000,0.15,4,4,1,Pointer
86.400000,0.15,5,6,2,Middle
86.550000,0.15,4,6,2,Middle
86.700000,0.15,3,4,1,Pointer
86.850000,0.15,4,6,2,Middle
87.000000,0.09999999999999999,3,4,1,Pointer
87.100000,0.09999999999999999,3,6,2,Middle
87.200000,0.09999999999999999,3,4,1,Pointer
87.300000,0.15,4,6,2,Middle
87.450000,0.15,3,4,1,Pointer
87.600000,0.15,5,7,3,Ring
87.750000,0.15,4,6,2,Middle
